Амбунти;Ambunti;Амбунти;Папуа - Новая Гвинея;-4.217;142.817
;Alakanuk;;США;62.680044;-164.659925
;Aur Island;;Маршалловы острова;8.145277;171.173056
Остин;Austin;Остин;США;43.662639;-92.932917
Обурн;Auburn;Обурн;США;38.954806;-121.081722
;Auburn-Opelika;Обурн;США;32.615111;-85.434000
Агаун;Agaun;Агаун;Папуа - Новая Гвинея;-9.917;149.383
;Atuona;;Французская Полинезия;-9.768794;-139.011256
Орийак;Aurillac;Орийак;Франция;44.897583;2.416719
Атауро;Atauro;Атауро;Индонезия;-8.267;125.602
;Aurukun Mission;;Австралия;-13.353889;141.720833
;Aumo;;Папуа - Новая Гвинея;-5.7333333333333;148.5
;Municipal;;США;44.926285;-89.627002
;Araguaina;;Бразилия;-7.227867;-48.240467
Анейтьюм;Aneityum;Анейтьюм;Вануату;-20.249167;169.771389
;Municipal Airport;;США;41.771917;-88.475667
;An Shun/Huang Guo Shu;;Китай;26.260556;105.873056
Авиано;Aviano;;Италия;46.031889;12.596472
Авориаз;Avoriaz;Аворьяз;Франция;46.2;6.7666666666667
Овернь;Auvergne;Овернь;Австралия;-15.690278;130.008611
;Maximo Gomez;;Куба;22.027053;-78.789617
;Arvaikheer;;Монголия;46.250397;102.802078
;Asheville Regional Airport;;США;35.436194;-82.541806
;Avignon-Caum;Авиньон;Франция;43.906581;4.902028
;Municipal;;США;27.591300;-81.528967
;Wilkes-Barre/Scranton International Airport;;США;41.338472;-75.723389
Аву-Аву;Avu Avu;Аву-Аву;Соломоновы острова;-9.867;160.400
Мельбурн-аэропорт Авалон;Avalon;Гелонг;Австралия;-38.039444;144.469444
;Avra Valley;Туксон;США;32.409556;-111.218389
;Avalon Bay;;США;33.404997;-118.415769
Авасса;Awassa;Авасса;Эфиопия;7.067222;38.490278
Аваба;Awaba;Аваба;Папуа - Новая Гвинея;-8.000;142.750
Анива;Aniwa;Анива;Вануату;-19.240000;169.605000
